sample_id,sample_type,sample_subtype,ufn,sample_comments
S1546CA1,carcass,whole,U1546,NA
S1547CA1,carcass,whole,U1547,NA
S1548CA1,carcass,whole,U1548,NA
S1549CA1,carcass,whole,U1549,NA
S1550CA1,carcass,whole,U1550,NA
S1551CA1,carcass,whole,U1551,NA
S1552CA1,carcass,whole,U1552,NA
S1553CA1,carcass,whole,U1553,NA
S1554CA1,carcass,whole,U1554,NA
S1555CA1,carcass,whole,U1555,NA
S1556CA1,carcass,whole,U1556,NA
S1557CA1,carcass,whole,U1557,NA
S1558CA1,carcass,whole,U1558,NA
S1559CA1,carcass,whole,U1559,NA
S1560CA1,carcass,whole,U1560,NA
S1561CA1,carcass,whole,U1561,NA
S1562CA1,carcass,whole,U1562,NA
S1563CA1,carcass,whole,U1563,NA
S1564CA1,carcass,whole,U1564,NA
S1565CA1,carcass,whole,U1565,NA
S1566CA1,carcass,whole,U1566,NA
S1567CA1,carcass,whole,U1567,NA
S1568CA1,carcass,whole,U1568,NA
S1569CA1,carcass,whole,U1569,NA
S1570CA1,carcass,whole,U1570,NA
S1571CA1,carcass,whole,U1571,NA
S1572CA1,carcass,whole,U1572,NA
S1573CA1,carcass,whole,U1573,NA
S1574CA1,carcass,whole,U1574,NA
S1575CA1,carcass,whole,U1575,NA
S1576CA1,carcass,whole,U1576,NA
S1577CA1,carcass,whole,U1577,NA
S1578CA1,carcass,whole,U1578,NA
S1579CA1,carcass,whole,U1579,NA
S1580CA1,carcass,whole,U1580,NA
S1581CA1,carcass,whole,U1581,NA
S1582CA1,carcass,whole,U1582,NA
S1583CA1,carcass,whole,U1583,NA
S1584CA1,carcass,whole,U1584,NA
S1585CA1,carcass,whole,U1585,NA
S1586CA1,carcass,whole,U1586,NA
S1587CA1,carcass,whole,U1587,NA
S1588CA1,carcass,whole,U1588,NA
S1589CA1,carcass,whole,U1589,NA
S1590CA1,carcass,whole,U1590,NA
S1591CA1,carcass,whole,U1591,NA
S1592CA1,carcass,whole,U1592,NA
S1593CA1,carcass,whole,U1593,NA
S1594CA1,carcass,whole,U1594,NA
S1595CA1,carcass,whole,U1595,NA
S1596CA1,carcass,whole,U1596,NA
S1597CA1,carcass,whole,U1597,NA
S1598CA1,carcass,whole,U1598,NA
S1599CA1,carcass,whole,U1599,NA
S1600CA1,carcass,whole,U1600,NA
S1601CA1,carcass,whole,U1601,NA
S1602CA1,carcass,whole,U1602,NA
S1603CA1,carcass,whole,U1603,NA
S1604CA1,carcass,whole,U1604,NA
S1605CA1,carcass,whole,U1605,NA
S1606CA1,carcass,whole,U1606,NA
S1607CA1,carcass,whole,U1607,NA
S1608CA1,carcass,whole,U1608,NA
S1609CA1,carcass,whole,U1609,NA
S1610CA1,carcass,whole,U1610,NA
S1611CA1,carcass,whole,U1611,NA
S1612CA1,carcass,whole,U1612,NA
S1613CA1,carcass,whole,U1613,NA
S1614CA1,carcass,whole,U1614,NA
S1621CA1,carcass,whole,U1621,NA
S1622CA1,carcass,whole,U1622,NA
S1623CA1,carcass,whole,U1623,NA
S1624CA1,carcass,whole,U1624,NA
S1625CA1,carcass,whole,U1625,NA
S1626CA1,carcass,whole,U1626,NA
S1627CA1,carcass,whole,U1627,NA
S1628CA1,carcass,whole,U1628,NA
S1629CA1,carcass,whole,U1629,NA
S1630CA1,carcass,whole,U1630,NA
S1631CA1,carcass,whole,U1631,NA
S1632CA1,carcass,whole,U1632,NA
S1633CA1,carcass,whole,U1633,NA
S1634CA1,carcass,whole,U1634,NA
S1635CA1,carcass,whole,U1635,NA
S1636CA1,carcass,whole,U1636,NA
S1637CA1,carcass,whole,U1637,NA
S1638CA1,carcass,whole,U1638,NA
S1639CA1,carcass,whole,U1639,NA
S1640CA1,carcass,whole,U1640,NA
S1641CA1,carcass,whole,U1641,NA
S1642CA1,carcass,whole,U1642,NA
S1643CA1,carcass,whole,U1643,NA
S1644CA1,carcass,whole,U1644,NA
S1645CA1,carcass,whole,U1645,NA
S1646CA1,carcass,whole,U1646,NA
S1647CA1,carcass,whole,U1647,NA
S1648CA1,carcass,whole,U1648,NA
S1649CA1,carcass,whole,U1649,NA
S1651CA1,carcass,whole,U1651,NA
S1652CA1,carcass,whole,U1652,NA
S1653CA1,carcass,whole,U1653,NA
S1654CA1,carcass,whole,U1654,NA
S1655CA1,carcass,whole,U1655,NA
S1656CA1,carcass,whole,U1656,NA
S1657CA1,carcass,whole,U1657,NA
S1658CA1,carcass,whole,U1658,NA
S1659CA1,carcass,whole,U1659,NA
S1660CA1,carcass,whole,U1660,NA
S1661CA1,carcass,whole,U1661,NA
S1662CA1,carcass,whole,U1662,NA
S1663CA1,carcass,whole,U1663,NA
S1664CA1,carcass,whole,U1664,NA
S1665CA1,carcass,whole,U1665,NA
S1666CA1,carcass,whole,U1666,NA
S1667CA1,carcass,whole,U1667,NA
S1668CA1,carcass,whole,U1668,NA
S1669CA1,carcass,whole,U1669,NA
S1670CA1,carcass,whole,U1670,NA
S1671CA1,carcass,whole,U1671,NA
S1672CA1,carcass,whole,U1672,NA
S1673CA1,carcass,whole,U1673,NA
S1674CA1,carcass,whole,U1674,NA
S1675CA1,carcass,whole,U1675,NA
S1676CA1,carcass,whole,U1676,NA
S1677CA1,carcass,whole,U1677,NA
S1678CA1,carcass,whole,U1678,NA
S1679CA1,carcass,whole,U1679,NA
S1680CA1,carcass,whole,U1680,NA
S1681CA1,carcass,whole,U1681,NA
S1682CA1,carcass,whole,U1682,NA
S1683CA1,carcass,whole,U1683,NA
S1684CA1,carcass,whole,U1684,NA
S1685CA1,carcass,whole,U1685,NA
S1686CA1,carcass,whole,U1686,NA
S1687CA1,carcass,whole,U1687,NA
S1688CA1,carcass,whole,U1688,NA
S1689CA1,carcass,whole,U1689,NA
S1690CA1,carcass,whole,U1690,NA
S1691CA1,carcass,whole,U1691,NA
S1692CA1,carcass,whole,U1692,NA
S1693CA1,carcass,whole,U1693,NA
S1694CA1,carcass,whole,U1694,NA
S1695CA1,carcass,whole,U1695,NA
S1696CA1,carcass,whole,U1696,NA
S1697CA1,carcass,whole,U1697,NA
S1698CA1,carcass,whole,U1698,NA
S1699CA1,carcass,whole,U1699,NA
S1700CA1,carcass,whole,U1700,NA
S1701CA1,carcass,whole,U1701,NA
S1702CA1,carcass,whole,U1702,NA
S1703CA1,carcass,whole,U1703,NA
S1704CA1,carcass,whole,U1704,NA
S1705CA1,carcass,whole,U1705,NA
S1706CA1,carcass,whole,U1706,NA
S1707CA1,carcass,whole,U1707,NA
S1708CA1,carcass,whole,U1708,NA
S1709CA1,carcass,whole,U1709,NA
S1710CA1,carcass,whole,U1710,NA
S1711CA1,carcass,whole,U1711,NA
S1712CA1,carcass,whole,U1712,NA
S1713CA1,carcass,whole,U1713,NA
S1714CA1,carcass,whole,U1714,NA
S1715CA1,carcass,whole,U1715,NA
S1716CA1,carcass,whole,U1716,NA
S1717CA1,carcass,whole,U1717,NA
S1718CA1,carcass,whole,U1718,NA
S1720CA1,carcass,whole,U1720,NA
S1721CA1,carcass,whole,U1721,NA
S1722CA1,carcass,whole,U1722,NA
S1723CA1,carcass,whole,U1723,NA
S1724CA1,carcass,whole,U1724,NA
S1725CA1,carcass,whole,U1725,NA
S1726CA1,carcass,whole,U1726,NA
S1727CA1,carcass,whole,U1727,NA
S1728CA1,carcass,whole,U1728,NA
S1729CA1,carcass,whole,U1729,NA
S1730CA1,carcass,whole,U1730,NA
S1731CA1,carcass,whole,U1731,NA
S1732CA1,carcass,whole,U1732,NA
S1733CA1,carcass,whole,U1733,NA
S1734CA1,carcass,whole,U1734,NA
S1735CA1,carcass,whole,U1735,NA
S1736CA1,carcass,whole,U1736,NA
S1737CA1,carcass,whole,U1737,NA
S1738CA1,carcass,whole,U1738,NA
S1739CA1,carcass,whole,U1739,NA
S1740CA1,carcass,whole,U1740,NA
S1741CA1,carcass,whole,U1741,NA
S1742CA1,carcass,whole,U1742,NA
S1743CA1,carcass,whole,U1743,Fish fell on floor
S1744CA1,carcass,whole,U1744,NA
S1745CA1,carcass,whole,U1745,NA
S1746CA1,carcass,whole,U1746,NA
S1747CA1,carcass,whole,U1747,NA
S1748CA1,carcass,whole,U1748,NA
S1749CA1,carcass,whole,U1749,NA
S1750CA1,carcass,whole,U1750,NA
S1751CA1,carcass,whole,U1751,NA
S1752CA1,carcass,whole,U1752,NA
S1753CA1,carcass,whole,U1753,NA
S1754CA1,carcass,whole,U1754,NA
S1755CA1,carcass,whole,U1755,NA
S1756CA1,carcass,whole,U1756,NA
S1757CA1,carcass,whole,U1757,NA
S1758CA1,carcass,whole,U1758,NA
S1759CA1,carcass,whole,U1759,NA
S1760CA1,carcass,whole,U1760,NA
S1771CA1,carcass,whole,U1771,NA
S1772CA1,carcass,whole,U1772,NA
S1773CA1,carcass,whole,U1773,NA
S1774CA1,carcass,whole,U1774,NA
S1775CA1,carcass,whole,U1775,NA
S1776CA1,carcass,whole,U1776,NA
S1777CA1,carcass,whole,U1777,NA
S1778CA1,carcass,whole,U1778,NA
S1779CA1,carcass,whole,U1779,NA
S1780CA1,carcass,whole,U1780,NA
S1781CA1,carcass,whole,U1781,NA
S1782CA1,carcass,whole,U1782,NA
S1783CA1,carcass,whole,U1783,NA
S1784CA1,carcass,whole,U1784,NA
S1785CA1,carcass,whole,U1785,NA
S1786CA1,carcass,whole,U1786,NA
S1787CA1,carcass,whole,U1787,NA
S1788CA1,carcass,whole,U1788,NA
S1789CA1,carcass,whole,U1789,NA
S1790CA1,carcass,whole,U1790,NA
S1791CA1,carcass,whole,U1791,NA
S1792CA1,carcass,whole,U1792,NA
S1793CA1,carcass,whole,U1793,NA
S1794CA1,carcass,whole,U1794,NA
S1795CA1,carcass,whole,U1795,NA
S1796CA1,carcass,whole,U1796,NA
S1797CA1,carcass,whole,U1797,NA
S1798CA1,carcass,whole,U1798,NA
S1799CA1,carcass,whole,U1799,NA
S1800CA1,carcass,whole,U1800,NA
S1801CA1,carcass,whole,U1801,NA
S1802CA1,carcass,whole,U1802,NA
S1803CA1,carcass,whole,U1803,NA
S1804CA1,carcass,whole,U1804,NA
S1805CA1,carcass,whole,U1805,NA
S1806CA1,carcass,whole,U1806,NA
S1807CA1,carcass,whole,U1807,NA
S1808CA1,carcass,whole,U1808,NA
S1809CA1,carcass,whole,U1809,NA
S1810CA1,carcass,whole,U1810,NA
S1811CA1,carcass,whole,U1811,NA
S1812CA1,carcass,whole,U1812,NA
S1813CA1,carcass,whole,U1813,NA
S1814CA1,carcass,whole,U1814,NA
S1815CA1,carcass,whole,U1815,NA
S1816CA1,carcass,whole,U1816,NA
S1817CA1,carcass,whole,U1817,NA
S1818CA1,carcass,whole,U1818,NA
S1819CA1,carcass,whole,U1819,NA
S1820CA1,carcass,whole,U1820,NA
S1821CA1,carcass,whole,U1821,NA
S1822CA1,carcass,whole,U1822,NA
S1823CA1,carcass,whole,U1823,NA
S1824CA1,carcass,whole,U1824,NA
S1825CA1,carcass,whole,U1825,NA
S1826CA1,carcass,whole,U1826,NA
S1827CA1,carcass,whole,U1827,NA
S1828CA1,carcass,whole,U1828,NA
S1829CA1,carcass,whole,U1829,NA
S1830CA1,carcass,whole,U1830,NA
S1831CA1,carcass,whole,U1831,NA
S1832CA1,carcass,whole,U1832,NA
S1833CA1,carcass,whole,U1833,NA
S1834CA1,carcass,whole,U1834,Fish fell on floor
S1835CA1,carcass,whole,U1835,NA
S1836CA1,carcass,whole,U1836,NA
S1837CA1,carcass,whole,U1837,NA
S1838CA1,carcass,whole,U1838,NA
S1839CA1,carcass,whole,U1839,NA
S1840CA1,carcass,whole,U1840,NA
S1841CA1,carcass,whole,U1841,NA
S1842CA1,carcass,whole,U1842,NA
S1843CA1,carcass,whole,U1843,NA
S1844CA1,carcass,whole,U1844,NA
S1845CA1,carcass,whole,U1845,NA
S1846CA1,carcass,whole,U1846,NA
S1847CA1,carcass,whole,U1847,NA
S1848CA1,carcass,whole,U1848,NA
S1849CA1,carcass,whole,U1849,NA
S1850CA1,carcass,whole,U1850,NA
S1851CA1,carcass,whole,U1851,NA
S1852CA1,carcass,whole,U1852,NA
S1853CA1,carcass,whole,U1853,NA
S1854CA1,carcass,whole,U1854,NA
S1855CA1,carcass,whole,U1855,NA
S1856CA1,carcass,whole,U1856,NA
S1857CA1,carcass,whole,U1857,NA
S1858CA1,carcass,whole,U1858,NA
S1859CA1,carcass,whole,U1859,NA
S1860CA1,carcass,whole,U1860,NA
S1861CA1,carcass,whole,U1861,NA
S1862CA1,carcass,whole,U1862,NA
S1863CA1,carcass,whole,U1863,NA
S1864CA1,carcass,whole,U1864,NA
S1865CA1,carcass,whole,U1865,NA
S1866CA1,carcass,whole,U1866,NA
S1867CA1,carcass,whole,U1867,NA
S1868CA1,carcass,whole,U1868,NA
S1869CA1,carcass,whole,U1869,NA
S1870CA1,carcass,whole,U1870,NA
S1871CA1,carcass,whole,U1871,NA
S1872CA1,carcass,whole,U1872,NA
S1873CA1,carcass,whole,U1873,NA
S1874CA1,carcass,whole,U1874,NA
S1875CA1,carcass,whole,U1875,NA
S1876CA1,carcass,whole,U1876,NA
S1877CA1,carcass,whole,U1877,NA
S1878CA1,carcass,whole,U1878,NA
S1879CA1,carcass,whole,U1879,NA
S1880CA1,carcass,whole,U1880,NA
S1881CA1,carcass,whole,U1881,NA
S1882CA1,carcass,whole,U1882,NA
S1883CA1,carcass,whole,U1883,NA
S1884CA1,carcass,whole,U1884,NA
S1885CA1,carcass,whole,U1885,NA
S1886CA1,carcass,whole,U1886,NA
S1887CA1,carcass,whole,U1887,NA
S1888CA1,carcass,whole,U1888,NA
S1889CA1,carcass,whole,U1889,NA
S1890CA1,carcass,whole,U1890,NA
S1891CA1,carcass,whole,U1891,NA
S1892CA1,carcass,whole,U1892,NA
S1893CA1,carcass,whole,U1893,NA
S1894CA1,carcass,whole,U1894,NA
S1895CA1,carcass,whole,U1895,NA
S1896CA1,carcass,whole,U1896,NA
S1897CA1,carcass,whole,U1897,NA
S1898CA1,carcass,whole,U1898,NA
S1899CA1,carcass,whole,U1899,NA
S1900CA1,carcass,whole,U1900,NA
S1901CA1,carcass,whole,U1901,NA
S1902CA1,carcass,whole,U1902,NA
S1903CA1,carcass,whole,U1903,NA
S1904CA1,carcass,whole,U1904,NA
S1905CA1,carcass,whole,U1905,NA
S1906CA1,carcass,whole,U1906,NA
S1907CA1,carcass,whole,U1907,NA
S1908CA1,carcass,whole,U1908,NA
S1909CA1,carcass,whole,U1909,NA
S1910CA1,carcass,whole,U1910,NA
S1911CA1,carcass,whole,U1911,NA
S1912CA1,carcass,whole,U1912,NA
S1913CA1,carcass,whole,U1913,NA
S1914CA1,carcass,whole,U1914,NA
S1915CA1,carcass,whole,U1915,NA
S1916CA1,carcass,whole,U1916,NA
S1917CA1,carcass,whole,U1917,NA
S1918CA1,carcass,whole,U1918,NA
S1919CA1,carcass,whole,U1919,NA
S1920CA1,carcass,whole,U1920,NA
S1921CA1,carcass,whole,U1921,NA
S1922CA1,carcass,whole,U1922,NA
S1923CA1,carcass,whole,U1923,NA
S1924CA1,carcass,whole,U1924,NA
S1925CA1,carcass,whole,U1925,NA
S1926CA1,carcass,whole,U1926,NA
S1927CA1,carcass,whole,U1927,NA
S1928CA1,carcass,whole,U1928,NA
S1929CA1,carcass,whole,U1929,NA
S1930CA1,carcass,whole,U1930,NA
S1931CA1,carcass,whole,U1931,NA
S1932CA1,carcass,whole,U1932,NA
S1933CA1,carcass,whole,U1933,NA
S1934CA1,carcass,whole,U1934,NA
S1935CA1,carcass,whole,U1935,NA
S1936CA1,carcass,whole,U1936,NA
S1937CA1,carcass,whole,U1937,NA
S1938CA1,carcass,whole,U1938,NA
S1939CA1,carcass,whole,U1939,NA
S1940CA1,carcass,whole,U1940,NA
S1941CA1,carcass,whole,U1941,NA
S1942CA1,carcass,whole,U1942,NA
S1943CA1,carcass,whole,U1943,NA
S1944CA1,carcass,whole,U1944,NA
S1945CA1,carcass,whole,U1945,NA
S1946CA1,carcass,whole,U1946,NA
S1947CA1,carcass,whole,U1947,NA
S1948CA1,carcass,whole,U1948,NA
S1949CA1,carcass,whole,U1949,NA
S1950CA1,carcass,whole,U1950,NA
S1951CA1,carcass,whole,U1951,NA
S1952CA1,carcass,whole,U1952,NA
S1953CA1,carcass,whole,U1953,NA
S1954CA1,carcass,whole,U1954,NA
S1955CA1,carcass,whole,U1955,NA
S1956CA1,carcass,whole,U1956,NA
S1957CA1,carcass,whole,U1957,NA
S1958CA1,carcass,whole,U1958,NA
S1959CA1,carcass,whole,U1959,NA
S1960CA1,carcass,whole,U1960,NA
S1961CA1,carcass,whole,U1961,NA
S1962CA1,carcass,whole,U1962,NA
S1963CA1,carcass,whole,U1963,NA
S1964CA1,carcass,whole,U1964,NA
S1965CA1,carcass,whole,U1965,NA
S1966CA1,carcass,whole,U1966,NA
S1967CA1,carcass,whole,U1967,NA
S1968CA1,carcass,whole,U1968,NA
S1969CA1,carcass,whole,U1969,NA
S1970CA1,carcass,whole,U1970,NA
S1971CA1,carcass,whole,U1971,NA
S1972CA1,carcass,whole,U1972,NA
S1973CA1,carcass,whole,U1973,NA
S1974CA1,carcass,whole,U1974,NA
S1975CA1,carcass,whole,U1975,NA
S1976CA1,carcass,whole,U1976,NA
S1977CA1,carcass,whole,U1977,NA
S1978CA1,carcass,whole,U1978,NA
S1979CA1,carcass,whole,U1979,NA
S1980CA1,carcass,whole,U1980,NA
S1981CA1,carcass,whole,U1981,NA
S1982CA1,carcass,whole,U1982,NA
S1983CA1,carcass,whole,U1983,NA
S1984CA1,carcass,whole,U1984,NA
S1985CA1,carcass,whole,U1985,NA
S1986CA1,carcass,whole,U1986,NA
S1987CA1,carcass,whole,U1987,NA
S1988CA1,carcass,whole,U1988,NA
S1989CA1,carcass,whole,U1989,NA
S1990CA1,carcass,whole,U1990,NA
S1991CA1,carcass,whole,U1991,NA
S1992CA1,carcass,whole,U1992,NA
S1993CA1,carcass,whole,U1993,NA
S1994CA1,carcass,whole,U1994,NA
S1995CA1,carcass,whole,U1995,NA
S1996CA1,carcass,whole,U1996,NA
S1997CA1,carcass,whole,U1997,NA
S1998CA1,carcass,whole,U1998,NA
S1999CA1,carcass,whole,U1999,NA
S2000CA1,carcass,whole,U2000,NA
S2001CA1,carcass,whole,U2001,NA
S2002CA1,carcass,whole,U2002,NA
S2003CA1,carcass,whole,U2003,NA
S2004CA1,carcass,whole,U2004,NA
S2005CA1,carcass,whole,U2005,NA
S2006CA1,carcass,whole,U2006,NA
S2007CA1,carcass,whole,U2007,NA
S2008CA1,carcass,whole,U2008,NA
S2009CA1,carcass,whole,U2009,NA
S2010CA1,carcass,whole,U2010,NA
S2011CA1,carcass,whole,U2011,NA
S2012CA1,carcass,whole,U2012,NA
S2013CA1,carcass,whole,U2013,NA
S2014CA1,carcass,whole,U2014,NA
S2015CA1,carcass,whole,U2015,NA
S2016CA1,carcass,whole,U2016,NA
S2017CA1,carcass,whole,U2017,NA
S2018CA1,carcass,whole,U2018,NA
S2019CA1,carcass,whole,U2019,NA
S2020CA1,carcass,whole,U2020,NA
S2021CA1,carcass,whole,U2021,NA
S2022CA1,carcass,whole,U2022,NA
S2023CA1,carcass,whole,U2023,NA
S2024CA1,carcass,whole,U2024,NA
S2025CA1,carcass,whole,U2025,NA
S2026CA1,carcass,whole,U2026,NA
S2027CA1,carcass,whole,U2027,NA
S2028CA1,carcass,whole,U2028,NA
S2029CA1,carcass,whole,U2029,NA
S2030CA1,carcass,whole,U2030,NA
S2031CA1,carcass,whole,U2031,NA
S2032CA1,carcass,whole,U2032,NA
S2033CA1,carcass,whole,U2033,NA
S2034CA1,carcass,whole,U2034,NA
S2035CA1,carcass,whole,U2035,NA
S2036CA1,carcass,whole,U2036,NA
S2037CA1,carcass,whole,U2037,NA
S2038CA1,carcass,whole,U2038,NA
S2039CA1,carcass,whole,U2039,NA
S2041CA1,carcass,whole,U2041,NA
S2042CA1,carcass,whole,U2042,NA
S2043CA1,carcass,whole,U2043,NA
S2044CA1,carcass,whole,U2044,NA
S2045CA1,carcass,whole,U2045,NA
S2046CA1,carcass,whole,U2046,NA
S2047CA1,carcass,whole,U2047,NA
S2048CA1,carcass,whole,U2048,NA
S2049CA1,carcass,whole,U2049,NA
S2051CA1,carcass,whole,U2051,NA
S2052CA1,carcass,whole,U2052,NA
S2053CA1,carcass,whole,U2053,NA
S2054CA1,carcass,whole,U2054,NA
S2055CA1,carcass,whole,U2055,NA
S2056CA1,carcass,whole,U2056,NA
S2057CA1,carcass,whole,U2057,NA
S2058CA1,carcass,whole,U2058,NA
S2059CA1,carcass,whole,U2059,NA
S2060CA1,carcass,whole,U2060,NA
S2071CA1,carcass,whole,U2071,NA
S2072CA1,carcass,whole,U2072,NA
S2073CA1,carcass,whole,U2073,NA
S2074CA1,carcass,whole,U2074,NA
S2075CA1,carcass,whole,U2075,NA
S2076CA1,carcass,whole,U2076,NA
S2077CA1,carcass,whole,U2077,NA
S2078CA1,carcass,whole,U2078,NA
S2079CA1,carcass,whole,U2079,NA
S2080CA1,carcass,whole,U2080,NA
S2081CA1,carcass,whole,U2081,NA
S2082CA1,carcass,whole,U2082,NA
S2083CA1,carcass,whole,U2083,NA
S2084CA1,carcass,whole,U2084,NA
S2085CA1,carcass,whole,U2085,NA
S2086CA1,carcass,whole,U2086,NA
S2087CA1,carcass,whole,U2087,NA
S2088CA1,carcass,whole,U2088,NA
S2089CA1,carcass,whole,U2089,NA
S2090CA1,carcass,whole,U2090,NA
S2091CA1,carcass,whole,U2091,NA
S2092CA1,carcass,whole,U2092,NA
S2093CA1,carcass,whole,U2093,NA
S2094CA1,carcass,whole,U2094,NA
S2095CA1,carcass,whole,U2095,NA
S2096CA1,carcass,whole,U2096,NA
S2097CA1,carcass,whole,U2097,NA
S2098CA1,carcass,whole,U2098,NA
S2099CA1,carcass,whole,U2099,NA
S2100CA1,carcass,whole,U2100,NA
S2101CA1,carcass,whole,U2101,NA
S2102CA1,carcass,whole,U2102,NA
S2103CA1,carcass,whole,U2103,NA
S2104CA1,carcass,whole,U2104,NA
S2105CA1,carcass,whole,U2105,NA
S2106CA1,carcass,whole,U2106,NA
S2107CA1,carcass,whole,U2107,NA
S2108CA1,carcass,whole,U2108,NA
S2109CA1,carcass,whole,U2109,NA
S2110CA1,carcass,whole,U2110,NA
S2111CA1,carcass,whole,U2111,NA
S2112CA1,carcass,whole,U2112,NA
S2113CA1,carcass,whole,U2113,NA
S2114CA1,carcass,whole,U2114,NA
S2115CA1,carcass,whole,U2115,NA
S2116CA1,carcass,whole,U2116,NA
S2117CA1,carcass,whole,U2117,NA
S2118CA1,carcass,whole,U2118,NA
S2119CA1,carcass,whole,U2119,NA
S2120CA1,carcass,whole,U2120,NA
S2131CA1,carcass,whole,U2131,NA
S2132CA1,carcass,whole,U2132,NA
S2133CA1,carcass,whole,U2133,NA
S2134CA1,carcass,whole,U2134,NA
S2135CA1,carcass,whole,U2135,NA
S2141CA1,carcass,whole,U2141,NA
S2142CA1,carcass,whole,U2142,NA
S2143CA1,carcass,whole,U2143,NA
S2144CA1,carcass,whole,U2144,NA
S2145CA1,carcass,whole,U2145,NA
S2146CA1,carcass,whole,U2146,NA
S2147CA1,carcass,whole,U2147,NA
S2148CA1,carcass,whole,U2148,NA
S2149CA1,carcass,whole,U2149,NA
S2150CA1,carcass,whole,U2150,NA
S2156CA1,carcass,whole,U2156,NA
S2157CA1,carcass,whole,U2157,NA
S2158CA1,carcass,whole,U2158,NA
S2159CA1,carcass,whole,U2159,NA
S2160CA1,carcass,whole,U2160,NA
S2161CA1,carcass,whole,U2161,NA
S2162CA1,carcass,whole,U2162,NA
S2163CA1,carcass,whole,U2163,NA
S2164CA1,carcass,whole,U2164,NA
S2165CA1,carcass,whole,U2165,NA
S2166CA1,carcass,whole,U2166,NA
S2167CA1,carcass,whole,U2167,NA
S2168CA1,carcass,whole,U2168,NA
S2169CA1,carcass,whole,U2169,NA
S2170CA1,carcass,whole,U2170,NA
S2171CA1,carcass,whole,U2171,NA
S2172CA1,carcass,whole,U2172,NA
S2173CA1,carcass,whole,U2173,NA
S2174CA1,carcass,whole,U2174,NA
S2175CA1,carcass,whole,U2175,NA
S2176CA1,carcass,whole,U2176,NA
S2177CA1,carcass,whole,U2177,NA
S2178CA1,carcass,whole,U2178,NA
S2179CA1,carcass,whole,U2179,NA
S2180CA1,carcass,whole,U2180,NA
S2181CA1,carcass,whole,U2181,NA
S2182CA1,carcass,whole,U2182,NA
S2183CA1,carcass,whole,U2183,NA
S2184CA1,carcass,whole,U2184,NA
S2185CA1,carcass,whole,U2185,NA
S2186CA1,carcass,whole,U2186,NA
S2187CA1,carcass,whole,U2187,NA
S2188CA1,carcass,whole,U2188,NA
S2189CA1,carcass,whole,U2189,NA
S2191CA1,carcass,whole,U2191,NA
S2192CA1,carcass,whole,U2192,NA
S2193CA1,carcass,whole,U2193,NA
S2194CA1,carcass,whole,U2194,NA
S2195CA1,carcass,whole,U2195,NA
S2196CA1,carcass,whole,U2196,NA
S2197CA1,carcass,whole,U2197,NA
S2198CA1,carcass,whole,U2198,NA
S2199CA1,carcass,whole,U2199,NA
S2200CA1,carcass,whole,U2200,NA
S2201CA1,carcass,whole,U2201,NA
S2202CA1,carcass,whole,U2202,NA
S2203CA1,carcass,whole,U2203,NA
S2204CA1,carcass,whole,U2204,NA
S2205CA1,carcass,whole,U2205,NA
S2206CA1,carcass,whole,U2206,NA
S2207CA1,carcass,whole,U2207,NA
S2208CA1,carcass,whole,U2208,NA
S2209CA1,carcass,whole,U2209,NA
S2210CA1,carcass,whole,U2210,NA
S2211CA1,carcass,whole,U2211,NA
S2212CA1,carcass,whole,U2212,NA
S2213CA1,carcass,whole,U2213,NA
S2214CA1,carcass,whole,U2214,NA
S2215CA1,carcass,whole,U2215,NA
S2216CA1,carcass,whole,U2216,NA
S2217CA1,carcass,whole,U2217,NA
S2218CA1,carcass,whole,U2218,NA
S2219CA1,carcass,whole,U2219,NA
S2220CA1,carcass,whole,U2220,NA
S2241CA1,carcass,whole,U2241,NA
S2242CA1,carcass,whole,U2242,NA
S2243CA1,carcass,whole,U2243,NA
S2244CA1,carcass,whole,U2244,NA
S2245CA1,carcass,whole,U2245,NA
S2246CA1,carcass,whole,U2246,NA
S2247CA1,carcass,whole,U2247,NA
S2248CA1,carcass,whole,U2248,NA
S2249CA1,carcass,whole,U2249,NA
S2250CA1,carcass,whole,U2250,NA
S2251CA1,carcass,whole,U2251,NA
S2252CA1,carcass,whole,U2252,NA
S2253CA1,carcass,whole,U2253,NA
S2254CA1,carcass,whole,U2254,NA
S2255CA1,carcass,whole,U2255,NA
S2256CA1,carcass,whole,U2256,NA
S2257CA1,carcass,whole,U2257,NA
S2258CA1,carcass,whole,U2258,NA
S2259CA1,carcass,whole,U2259,NA
S2260CA1,carcass,whole,U2260,NA
S2261CA1,carcass,whole,U2261,NA
S2262CA1,carcass,whole,U2262,NA
S2263CA1,carcass,whole,U2263,NA
S2264CA1,carcass,whole,U2264,NA
S2265CA1,carcass,whole,U2265,NA
S2266CA1,carcass,whole,U2266,NA
S2267CA1,carcass,whole,U2267,NA
S2268CA1,carcass,whole,U2268,NA
S2269CA1,carcass,whole,U2269,NA
S2270CA1,carcass,whole,U2270,NA
S2271CA1,carcass,whole,U2271,NA
S2272CA1,carcass,whole,U2272,NA
S2273CA1,carcass,whole,U2273,NA
S2274CA1,carcass,whole,U2274,NA
S2275CA1,carcass,whole,U2275,NA
S2276CA1,carcass,whole,U2276,NA
S2277CA1,carcass,whole,U2277,NA
S2278CA1,carcass,whole,U2278,NA
S2279CA1,carcass,whole,U2279,NA
S2280CA1,carcass,whole,U2280,NA
