sample_id,sample_type,sample_subtype,ufn,sample_comments
S172CA1,carcass,whole,U172,NA
S174CA1,carcass,whole,U174,NA
S175CA1,carcass,whole,U175,NA
S176CA1,carcass,whole,U176,NA
S177CA1,carcass,whole,U177,NA
S178CA1,carcass,whole,U178,NA
S179CA1,carcass,whole,U179,NA
S180CA1,carcass,whole,U180,NA
S181CA1,carcass,whole,U181,NA
S182CA1,carcass,whole,U182,NA
S183CA1,carcass,whole,U183,NA
S184CA1,carcass,whole,U184,NA
S185CA1,carcass,whole,U185,NA
S186CA1,carcass,whole,U186,NA
S187CA1,carcass,whole,U187,NA
S188CA1,carcass,whole,U188,NA
S189CA1,carcass,whole,U189,NA
S190CA1,carcass,whole,U190,NA
S191CA1,carcass,whole,U191,NA
S192CA1,carcass,whole,U192,NA
S193CA1,carcass,whole,U193,NA
S194CA1,carcass,whole,U194,NA
S195CA1,carcass,whole,U195,NA
S196CA1,carcass,whole,U196,NA
S197CA1,carcass,whole,U197,NA
S198CA1,carcass,whole,U198,NA
S199CA1,carcass,whole,U199,NA
S200CA1,carcass,whole,U200,NA
S201CA1,carcass,whole,U201,NA
S202CA1,carcass,whole,U202,NA
S203CA1,carcass,whole,U203,NA
S204CA1,carcass,whole,U204,NA
S205CA1,carcass,whole,U205,NA
S206CA1,carcass,whole,U206,NA
S207CA1,carcass,whole,U207,NA
S208CA1,carcass,whole,U208,NA
S209CA1,carcass,whole,U209,NA
S210CA1,carcass,whole,U210,NA
S211CA1,carcass,whole,U211,NA
S212CA1,carcass,whole,U212,NA
S213CA1,carcass,whole,U213,NA
S214CA1,carcass,whole,U214,NA
S215CA1,carcass,whole,U215,NA
S216CA1,carcass,whole,U216,NA
S217CA1,carcass,whole,U217,NA
S218CA1,carcass,whole,U218,NA
S219CA1,carcass,whole,U219,NA
S220CA1,carcass,whole,U220,NA
S221CA1,carcass,whole,U221,NA
S222CA1,carcass,whole,U222,NA
S223CA1,carcass,whole,U223,NA
S224CA1,carcass,whole,U224,NA
S225CA1,carcass,whole,U225,NA
S226CA1,carcass,whole,U226,NA
S227CA1,carcass,whole,U227,NA
S228CA1,carcass,whole,U228,NA
S229CA1,carcass,whole,U229,NA
S230CA1,carcass,whole,U230,NA
S231CA1,carcass,whole,U231,NA
S232CA1,carcass,whole,U232,NA
S233CA1,carcass,whole,U233,NA
S234CA1,carcass,whole,U234,NA
S235CA1,carcass,whole,U235,NA
S236CA1,carcass,whole,U236,NA
S237CA1,carcass,whole,U237,NA
S238CA1,carcass,whole,U238,NA
S239CA1,carcass,whole,U239,NA
S240CA1,carcass,whole,U240,NA
S241CA1,carcass,whole,U241,NA
S242CA1,carcass,whole,U242,NA
S243CA1,carcass,whole,U243,NA
S244CA1,carcass,whole,U244,NA
S245CA1,carcass,whole,U245,NA
S246CA1,carcass,whole,U246,NA
S247CA1,carcass,whole,U247,NA
S248CA1,carcass,whole,U248,NA
S249CA1,carcass,whole,U249,NA
S250CA1,carcass,whole,U250,NA
S251CA1,carcass,whole,U251,NA
S252CA1,carcass,whole,U252,NA
S253CA1,carcass,whole,U253,NA
S254CA1,carcass,whole,U254,NA
S255CA1,carcass,whole,U255,NA
S256CA1,carcass,whole,U256,NA
S257CA1,carcass,whole,U257,NA
S258CA1,carcass,whole,U258,NA
S259CA1,carcass,whole,U259,NA
S260CA1,carcass,whole,U260,NA
S261CA1,carcass,whole,U261,NA
S262CA1,carcass,whole,U262,NA
S263CA1,carcass,whole,U263,NA
S264CA1,carcass,whole,U264,NA
S265CA1,carcass,whole,U265,NA
S266CA1,carcass,whole,U266,NA
S267CA1,carcass,whole,U267,NA
S268CA1,carcass,whole,U268,NA
S269CA1,carcass,whole,U269,NA
