sample_id,sample_type,ufn,sample_comments,analyzing_lab,sample_quality_flag,sample_quality_log
SXM4988,extra_muscle,U4588,NA,NA,AV,NA
SXM4989,extra_muscle,U4589,NA,NA,AV,NA
SXM4990,extra_muscle,U4590,NA,NA,AV,NA
SXM4991,extra_muscle,U4591,NA,NA,AV,NA
SXM5009,extra_muscle,U4609,Extra muscle stored at -20 overnight,NA,AV,NA
SXM5010,extra_muscle,U4610,Extra muscle stored at -20 overnight,NA,AV,NA
SXM5011,extra_muscle,U4611,Extra muscle stored at -20 overnight,NA,AV,NA
SXM5012,extra_muscle,U4612,Extra muscle stored at -20 overnight,NA,AV,NA
SXM5013,extra_muscle,U4613,Extra muscle stored at -20 overnight,NA,AV,NA
SXM5014,extra_muscle,U4614,NA,NA,AV,NA
SXM5015,extra_muscle,U4615,NA,NA,AV,NA
SXM5016,extra_muscle,U4616,NA,NA,AV,NA
SXM5017,extra_muscle,U4617,NA,NA,AV,NA
SXM5018,extra_muscle,U4618,NA,NA,AV,NA
SXM5019,extra_muscle,U4619,NA,NA,AV,NA
SXM5020,extra_muscle,U4620,NA,NA,AV,NA
SXM5021,extra_muscle,U4621,NA,NA,AV,NA
SXM5022,extra_muscle,U4622,NA,NA,AV,NA
SXM5023,extra_muscle,U4623,NA,NA,AV,NA
SXM5024,extra_muscle,U4624,NA,NA,AV,NA
SXM5025,extra_muscle,U4625,NA,NA,AV,NA
SXM5026,extra_muscle,U4626,NA,NA,AV,NA
SXM5027,extra_muscle,U4627,NA,NA,AV,NA
SXM5028,extra_muscle,U4628,NA,NA,AV,NA
SXM5029,extra_muscle,U4629,NA,NA,AV,NA
SXM5030,extra_muscle,U4630,NA,NA,AV,NA
SXM5031,extra_muscle,U4631,NA,NA,AV,NA
SXM5032,extra_muscle,U4632,NA,NA,AV,NA
SXM5033,extra_muscle,U4633,NA,NA,AV,NA
SXM5034,extra_muscle,U4634,NA,NA,AV,NA
SXM5035,extra_muscle,U4635,NA,NA,AV,NA
SXM5036,extra_muscle,U4636,NA,NA,AV,NA
SXM5037,extra_muscle,U4637,NA,NA,AV,NA
SXM5038,extra_muscle,U4638,NA,NA,AV,NA
SXM5039,extra_muscle,U4639,NA,NA,AV,NA
SXM5040,extra_muscle,U4640,NA,NA,AV,NA
SXM5049,extra_muscle,U4649,NA,NA,AV,NA
SXM5050,extra_muscle,U4650,NA,NA,AV,NA
SXM5051,extra_muscle,U4651,NA,NA,AV,NA
SXM5057,extra_muscle,U4657,NA,NA,AV,NA
SXM5058,extra_muscle,U4658,NA,NA,AV,NA
SXM5059,extra_muscle,U4659,NA,NA,AV,NA
SXM5060,extra_muscle,U4660,NA,NA,AV,NA
SXM5061,extra_muscle,U4661,NA,NA,AV,NA
SXM5062,extra_muscle,U4662,NA,NA,AV,NA
SXM5063,extra_muscle,U4663,NA,NA,AV,NA
SXM5064,extra_muscle,U4664,NA,NA,AV,NA
SXM5065,extra_muscle,U4665,NA,NA,AV,NA
SXM5066,extra_muscle,U4666,NA,NA,AV,NA
SXM5067,extra_muscle,U4667,NA,NA,AV,NA
SXM5068,extra_muscle,U4668,NA,NA,AV,NA
SXM5069,extra_muscle,U4669,NA,NA,AV,NA
SXM5070,extra_muscle,U4670,NA,NA,AV,NA
SXM5071,extra_muscle,U4671,NA,NA,AV,NA
SXM5072,extra_muscle,U4672,NA,NA,AV,NA
SXM5081,extra_muscle,U4681,NA,NA,AV,NA
SXM5082,extra_muscle,U4682,NA,NA,AV,NA
SXM5083,extra_muscle,U4683,NA,NA,AV,NA
