sample_id,sample_type,ufn,sample_comments,analyzing_lab,sample_quality_flag,sample_quality_log
S99FA1,fatty_acid,U99,NA,NA,AV,NA
S127FA1,fatty_acid,U127,NA,NA,AV,NA
S128FA1,fatty_acid,U128,NA,NA,AV,NA
S129FA1,fatty_acid,U129,NA,UBC_Hunt,AV,NA
S130FA1,fatty_acid,U130,NA,NA,AV,NA
S200FA1,fatty_acid,U200,NA,NA,AV,NA
S207FA1,fatty_acid,U207,NA,NA,AV,NA
S208FA1,fatty_acid,U208,NA,NA,AV,NA
S209FA1,fatty_acid,U209,NA,NA,AV,NA
S210FA1,fatty_acid,U210,NA,NA,AV,NA
S213FA1,fatty_acid,U213,NA,NA,AV,NA
S214FA1,fatty_acid,U214,NA,NA,AV,NA
S215FA1,fatty_acid,U215,NA,NA,AV,NA
S216FA1,fatty_acid,U216,NA,NA,AV,NA
S217FA1,fatty_acid,U217,NA,NA,AV,NA
S218FA1,fatty_acid,U218,NA,NA,AV,NA
S219FA1,fatty_acid,U219,NA,NA,AV,NA
S220FA1,fatty_acid,U220,NA,NA,AV,NA
S221FA1,fatty_acid,U221,NA,NA,AV,NA
S222FA1,fatty_acid,U222,NA,NA,AV,NA
S223FA1,fatty_acid,U223,NA,UBC_Hunt,AV,NA
S224FA1,fatty_acid,U224,NA,UBC_Hunt,AV,NA
S225FA1,fatty_acid,U225,NA,UBC_Hunt,AV,NA
S226FA1,fatty_acid,U226,NA,NA,AV,NA
S227FA1,fatty_acid,U227,NA,NA,AV,NA
S228FA1,fatty_acid,U228,NA,NA,AV,NA
S229FA1,fatty_acid,U229,NA,NA,AV,NA
S230FA1,fatty_acid,U230,NA,NA,AV,NA
S231FA1,fatty_acid,U231,NA,NA,AV,NA
S232FA1,fatty_acid,U232,NA,NA,AV,NA
S233FA1,fatty_acid,U233,NA,NA,AV,NA
S234FA1,fatty_acid,U234,NA,NA,AV,NA
S235FA1,fatty_acid,U235,NA,NA,AV,NA
S236FA1,fatty_acid,U236,NA,NA,AV,NA
S237FA1,fatty_acid,U237,NA,NA,AV,NA
S238FA1,fatty_acid,U238,NA,NA,AV,NA
S239FA1,fatty_acid,U239,NA,NA,AV,NA
S240FA1,fatty_acid,U240,NA,UBC_Hunt,AV,NA
S241FA1,fatty_acid,U241,NA,NA,AV,NA
S242FA1,fatty_acid,U242,NA,NA,AV,NA
S243FA1,fatty_acid,U243,NA,NA,AV,NA
S244FA1,fatty_acid,U244,NA,NA,AV,NA
S246FA1,fatty_acid,U246,NA,UBC_Hunt,AV,NA
S247FA1,fatty_acid,U247,NA,UBC_Hunt,AV,NA
S248FA1,fatty_acid,U248,NA,UBC_Hunt,AV,NA
S249FA1,fatty_acid,U249,NA,UBC_Hunt,AV,NA
S250FA1,fatty_acid,U250,NA,UBC_Hunt,AV,NA
S251FA1,fatty_acid,U251,NA,UBC_Hunt,AV,NA
S252FA1,fatty_acid,U252,NA,UBC_Hunt,AV,NA
S253FA1,fatty_acid,U253,NA,UBC_Hunt,AV,NA
S254FA1,fatty_acid,U254,NA,UBC_Hunt,AV,NA
S255FA1,fatty_acid,U255,NA,UBC_Hunt,AV,NA
S256FA1,fatty_acid,U256,NA,UBC_Hunt,AV,NA
S257FA1,fatty_acid,U257,NA,NA,AV,NA
S258FA1,fatty_acid,U258,NA,NA,AV,NA
S259FA1,fatty_acid,U259,NA,NA,AV,NA
S260FA1,fatty_acid,U260,NA,UBC_Hunt,AV,NA
S261FA1,fatty_acid,U261,NA,UBC_Hunt,AV,NA
S262FA1,fatty_acid,U262,NA,UBC_Hunt,AV,NA
S263FA1,fatty_acid,U263,NA,NA,AV,NA
S264FA1,fatty_acid,U264,NA,NA,AV,NA
S265FA1,fatty_acid,U265,NA,NA,AV,NA
S266FA1,fatty_acid,U266,NA,NA,AV,NA
S267FA1,fatty_acid,U267,NA,NA,AV,NA
S268FA1,fatty_acid,U268,NA,NA,AV,NA
S269FA1,fatty_acid,U269,NA,NA,AV,NA
S270FA1,fatty_acid,U270,NA,NA,AV,NA
S271FA1,fatty_acid,U271,NA,NA,AV,NA
S272FA1,fatty_acid,U272,NA,NA,AV,NA
S273FA1,fatty_acid,U273,NA,NA,AV,NA
S274FA1,fatty_acid,U274,NA,NA,AV,NA
S275FA1,fatty_acid,U275,NA,NA,AV,NA
S276FA1,fatty_acid,U276,NA,NA,AV,NA
S277FA1,fatty_acid,U277,NA,NA,AV,NA
S278FA1,fatty_acid,U278,NA,NA,AV,NA
S279FA1,fatty_acid,U279,NA,NA,AV,NA
S280FA1,fatty_acid,U280,NA,NA,AV,NA
S281FA1,fatty_acid,U281,NA,NA,AV,NA
S284FA1,fatty_acid,U284,NA,NA,AV,NA
S285FA1,fatty_acid,U285,NA,NA,AV,NA
S286FA1,fatty_acid,U286,NA,NA,AV,NA
S287FA1,fatty_acid,U287,NA,NA,AV,NA
S288FA1,fatty_acid,U288,NA,NA,AV,NA
S289FA1,fatty_acid,U289,NA,NA,AV,NA
S290FA1,fatty_acid,U290,NA,NA,AV,NA
S291FA1,fatty_acid,U291,NA,NA,AV,NA
S292FA1,fatty_acid,U292,NA,UBC_Hunt,AV,NA
S293FA1,fatty_acid,U293,NA,NA,AV,NA
S294FA1,fatty_acid,U294,NA,UBC_Hunt,AV,NA
S295FA1,fatty_acid,U295,NA,UBC_Hunt,AV,NA
S296FA1,fatty_acid,U296,NA,NA,AV,NA
S297FA1,fatty_acid,U297,NA,NA,AV,NA
S298FA1,fatty_acid,U298,NA,NA,AV,NA
S299FA1,fatty_acid,U299,NA,UBC_Hunt,AV,NA
S300FA1,fatty_acid,U300,NA,UBC_Hunt,AV,NA
S301FA1,fatty_acid,U301,NA,UBC_Hunt,AV,NA
S302FA1,fatty_acid,U302,NA,UBC_Hunt,AV,NA
S303FA1,fatty_acid,U303,NA,UBC_Hunt,AV,NA
S304FA1,fatty_acid,U304,NA,NA,AV,NA
S305FA1,fatty_acid,U305,NA,NA,AV,NA
S306FA1,fatty_acid,U306,NA,NA,AV,NA
S307FA1,fatty_acid,U307,NA,UBC_Hunt,AV,NA
S308FA1,fatty_acid,U308,NA,UBC_Hunt,AV,NA
S309FA1,fatty_acid,U309,NA,UBC_Hunt,AV,NA
S310FA1,fatty_acid,U310,NA,UBC_Hunt,AV,NA
S311FA1,fatty_acid,U311,NA,NA,AV,NA
S312FA1,fatty_acid,U312,NA,NA,AV,NA
S313FA1,fatty_acid,U313,NA,NA,AV,NA
S315FA1,fatty_acid,U315,NA,NA,AV,NA
S316FA1,fatty_acid,U316,NA,NA,AV,NA
S317FA1,fatty_acid,U317,NA,UBC_Hunt,AV,NA
S318FA1,fatty_acid,U318,NA,UBC_Hunt,AV,NA
S319FA1,fatty_acid,U319,NA,UBC_Hunt,AV,NA
S320FA1,fatty_acid,U320,NA,UBC_Hunt,AV,NA
S321FA1,fatty_acid,U321,NA,NA,AV,NA
S322FA1,fatty_acid,U322,NA,NA,AV,NA
S323FA1,fatty_acid,U323,NA,NA,AV,NA
S324FA1,fatty_acid,U324,NA,NA,AV,NA
S325FA1,fatty_acid,U325,NA,NA,AV,NA
S326FA1,fatty_acid,U326,NA,NA,AV,NA
S327FA1,fatty_acid,U327,NA,UBC_Hunt,AV,NA
S328FA1,fatty_acid,U328,NA,NA,AV,NA
S329FA1,fatty_acid,U329,NA,UBC_Hunt,AV,NA
S330FA1,fatty_acid,U330,NA,NA,AV,NA
S331FA1,fatty_acid,U331,NA,UBC_Hunt,AV,NA
S332FA1,fatty_acid,U332,NA,UBC_Hunt,AV,NA
S333FA1,fatty_acid,U333,NA,UBC_Hunt,AV,NA
S334FA1,fatty_acid,U334,NA,UBC_Hunt,AV,NA
S335FA1,fatty_acid,U335,NA,UBC_Hunt,AV,NA
S336FA1,fatty_acid,U336,NA,UBC_Hunt,AV,NA
S337FA1,fatty_acid,U337,NA,NA,AV,NA
S338FA1,fatty_acid,U338,NA,NA,AV,NA
S339FA1,fatty_acid,U339,NA,NA,AV,NA
S340FA1,fatty_acid,U340,NA,NA,AV,NA
S341FA1,fatty_acid,U341,NA,UBC_Hunt,AV,NA
S342FA1,fatty_acid,U342,NA,UBC_Hunt,AV,NA
S343FA1,fatty_acid,U343,NA,UBC_Hunt,AV,NA
S344FA1,fatty_acid,U344,NA,NA,AV,NA
S345FA1,fatty_acid,U345,NA,NA,AV,NA
S346FA1,fatty_acid,U346,NA,NA,AV,NA
S347FA1,fatty_acid,U347,NA,UBC_Hunt,AV,NA
S348FA1,fatty_acid,U348,NA,UBC_Hunt,AV,NA
S349FA1,fatty_acid,U349,NA,UBC_Hunt,AV,NA
S350FA1,fatty_acid,U350,NA,UBC_Hunt,AV,NA
S351FA1,fatty_acid,U351,NA,UBC_Hunt,AV,NA
S352FA1,fatty_acid,U352,NA,NA,AV,NA
S353FA1,fatty_acid,U353,NA,NA,AV,NA
S354FA1,fatty_acid,U354,NA,NA,AV,NA
S355FA1,fatty_acid,U355,NA,UBC_Hunt,AV,NA
S356FA1,fatty_acid,U356,NA,UBC_Hunt,AV,NA
S357FA1,fatty_acid,U357,NA,UBC_Hunt,AV,NA
S358FA1,fatty_acid,U358,NA,NA,AV,NA
S359FA1,fatty_acid,U359,NA,NA,AV,NA
S360FA1,fatty_acid,U360,NA,NA,AV,NA
S361FA1,fatty_acid,U361,NA,UBC_Hunt,AV,NA
S362FA1,fatty_acid,U362,NA,UBC_Hunt,AV,NA
S363FA1,fatty_acid,U363,NA,UBC_Hunt,AV,NA
S364FA1,fatty_acid,U364,NA,NA,AV,NA
S365FA1,fatty_acid,U365,NA,NA,AV,NA
S366FA1,fatty_acid,U366,NA,NA,AV,NA
S367FA1,fatty_acid,U367,NA,NA,AV,NA
S368FA1,fatty_acid,U368,NA,NA,AV,NA
S369FA1,fatty_acid,U369,NA,NA,AV,NA
S370FA1,fatty_acid,U370,NA,NA,AV,NA
S371FA1,fatty_acid,U371,NA,NA,AV,NA
S372FA1,fatty_acid,U372,NA,NA,AV,NA
S373FA1,fatty_acid,U373,NA,NA,AV,NA
S374FA1,fatty_acid,U374,NA,NA,AV,NA
S375FA1,fatty_acid,U375,NA,NA,AV,NA
S376FA1,fatty_acid,U376,NA,NA,AV,NA
S377FA1,fatty_acid,U377,NA,NA,AV,NA
S378FA1,fatty_acid,U378,NA,NA,AV,NA
S379FA1,fatty_acid,U379,NA,NA,AV,NA
S380FA1,fatty_acid,U380,NA,NA,AV,NA
S381FA1,fatty_acid,U381,NA,NA,AV,NA
S382FA1,fatty_acid,U382,NA,NA,AV,NA
S383FA1,fatty_acid,U383,NA,NA,AV,NA
S384FA1,fatty_acid,U384,NA,NA,AV,NA
S385FA1,fatty_acid,U385,NA,NA,AV,NA
S386FA1,fatty_acid,U386,NA,NA,AV,NA
S387FA1,fatty_acid,U387,NA,NA,AV,NA
S388FA1,fatty_acid,U388,NA,NA,AV,NA
S389FA1,fatty_acid,U389,NA,NA,AV,NA
S390FA1,fatty_acid,U390,NA,NA,AV,NA
S391FA1,fatty_acid,U391,NA,NA,AV,NA
S392FA1,fatty_acid,U392,NA,NA,AV,NA
S393FA1,fatty_acid,U393,NA,NA,AV,NA
S394FA1,fatty_acid,U394,NA,NA,AV,NA
S395FA1,fatty_acid,U395,NA,NA,AV,NA
S396FA1,fatty_acid,U396,NA,NA,AV,NA
S397FA1,fatty_acid,U397,NA,NA,AV,NA
S398FA1,fatty_acid,U398,NA,NA,AV,NA
S399FA1,fatty_acid,U399,NA,NA,AV,NA
S400FA1,fatty_acid,U400,NA,NA,AV,NA
S401FA1,fatty_acid,U401,NA,NA,AV,NA
S402FA1,fatty_acid,U402,NA,NA,AV,NA
